lang,task,test_accuracy,test_duration
de,write,0.546,0 days 00:00:57.157448
de,read,0.557,0 days 00:00:57.430656
en,write,0.227,0 days 00:00:57.083101
en,read,0.229,0 days 00:00:57.101336
eo,write,0.971,0 days 00:00:57.193396
eo,read,0.985,0 days 00:00:57.205681
es,write,0.573,0 days 00:00:57.191572
es,read,0.765,0 days 00:00:57.236209
fi,write,0.955,0 days 00:00:57.319705
fi,read,0.846,0 days 00:00:57.286201
fr,write,0.2,0 days 00:00:57.305734
fr,read,0.648,0 days 00:00:57.357423
fro,write,0.971,0 days 00:00:57.284474
fro,read,0.873,0 days 00:00:57.345510
it,write,0.901,0 days 00:00:57.239058
it,read,0.643,0 days 00:00:57.250787
ko,write,0.761,0 days 00:00:57.370420
ko,read,0.897,0 days 00:00:57.109891
nl,write,0.54,0 days 00:00:57.141798
nl,read,0.433,0 days 00:00:57.207761
pt,write,0.637,0 days 00:00:57.082603
pt,read,0.661,0 days 00:00:57.125627
ru,write,0.315,0 days 00:00:57.294287
ru,read,0.913,0 days 00:00:57.317526
sh,write,0.971,0 days 00:00:57.202914
sh,read,0.425,0 days 00:00:57.223372
tr,write,0.93,0 days 00:00:57.252577
tr,read,0.847,0 days 00:00:57.260431
zh,write,0.023,0 days 00:00:57.272745
zh,read,0.409,0 days 00:00:56.516029
ent,write,0.987,0 days 00:00:56.860424
ent,read,0.988,0 days 00:00:56.784940
eno,write,0.0,0 days 00:00:56.713288
eno,read,0.0,0 days 00:00:56.772066
ar,write,0.778,0 days 00:00:56.631588
ar,read,0.963,0 days 00:00:56.627421
br,write,0.68,0 days 00:00:56.514784
br,read,0.613,0 days 00:00:56.582197
de,write,0.513,0 days 00:00:56.727816
de,read,0.551,0 days 00:00:56.856631
en,write,0.25,0 days 00:00:56.542664
en,read,0.217,0 days 00:00:56.550216
eo,write,0.978,0 days 00:00:56.657297
eo,read,0.987,0 days 00:00:56.652820
es,write,0.592,0 days 00:00:56.620776
es,read,0.802,0 days 00:00:56.682872
fi,write,0.963,0 days 00:00:56.754639
fi,read,0.818,0 days 00:00:56.780763
fr,write,0.203,0 days 00:00:56.666118
fr,read,0.647,0 days 00:00:57.102109
fro,write,0.976,0 days 00:00:57.282600
fro,read,0.846,0 days 00:00:57.284187
it,write,0.901,0 days 00:00:56.846361
it,read,0.6,0 days 00:00:56.713911
ko,write,0.71,0 days 00:00:56.729534
ko,read,0.896,0 days 00:00:56.642272
nl,write,0.558,0 days 00:00:56.542494
nl,read,0.407,0 days 00:00:56.669612
pt,write,0.62,0 days 00:00:56.532533
pt,read,0.621,0 days 00:00:56.560490
ru,write,0.298,0 days 00:00:56.678486
ru,read,0.903,0 days 00:00:56.787245
sh,write,0.963,0 days 00:00:56.632095
sh,read,0.424,0 days 00:00:56.652955
tr,write,0.916,0 days 00:00:56.781524
tr,read,0.839,0 days 00:00:56.715703
zh,write,0.03,0 days 00:00:56.707283
zh,read,0.382,0 days 00:00:55.983733
ent,write,0.979,0 days 00:00:57.036666
ent,read,0.99,0 days 00:00:57.042158
eno,write,0.0,0 days 00:00:56.923991
eno,read,0.0,0 days 00:00:56.929266
ar,write,0.781,0 days 00:00:56.690981
ar,read,0.974,0 days 00:00:56.833996
br,write,0.703,0 days 00:00:56.618711
br,read,0.67,0 days 00:00:56.761131
de,write,0.557,0 days 00:00:56.893671
de,read,0.576,0 days 00:00:56.971011
en,write,0.223,0 days 00:00:56.637243
en,read,0.236,0 days 00:00:56.732063
eo,write,0.984,0 days 00:00:56.864477
eo,read,0.988,0 days 00:00:56.759817
es,write,0.591,0 days 00:00:56.779813
es,read,0.818,0 days 00:00:56.785732
fi,write,0.945,0 days 00:00:56.918812
fi,read,0.846,0 days 00:00:56.887580
fr,write,0.183,0 days 00:00:56.885733
fr,read,0.688,0 days 00:00:56.914897
fro,write,0.974,0 days 00:00:56.903908
fro,read,0.864,0 days 00:00:56.791947
it,write,0.909,0 days 00:00:56.849723
it,read,0.598,0 days 00:00:56.833101
ko,write,0.738,0 days 00:00:56.850238
ko,read,0.892,0 days 00:00:56.769349
nl,write,0.554,0 days 00:00:56.647147
nl,read,0.435,0 days 00:00:56.820236
pt,write,0.616,0 days 00:00:56.705548
pt,read,0.654,0 days 00:00:56.686456
ru,write,0.29,0 days 00:00:56.862222
ru,read,0.928,0 days 00:00:56.838989
sh,write,0.975,0 days 00:00:56.764007
sh,read,0.448,0 days 00:00:56.789872
tr,write,0.909,0 days 00:00:56.823421
tr,read,0.849,0 days 00:00:56.801287
zh,write,0.029,0 days 00:00:56.832989
zh,read,0.4,0 days 00:00:56.074918
ent,write,0.966,0 days 00:00:57.563446
ent,read,0.986,0 days 00:00:57.415101
eno,write,0.0,0 days 00:00:57.457153
eno,read,0.0,0 days 00:00:57.515019
ar,write,0.757,0 days 00:00:57.299006
ar,read,0.974,0 days 00:00:57.446050
br,write,0.711,0 days 00:00:57.146398
